Scraped At,Section,Product Name,Price,Rating,Image URL,Product URL
2026-02-12 16:22:10,Accessories,Blubby Multi Clutcher ( Pack of 1 ),Rs. 213,4.0,https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-1-b6caf.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/blubby-multi-clutcher-pack-of/654875721473#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,Kitchen Shelf Storage Rack Self Adhesive Traceless Rectangular Box Organizer Plastic Hanging Toilet Bathroom Desktop Wall Mount No Driling Required (Multicolor),Rs. 131,4.0,https://g.sdlcdn.com/imgs/j/m/u/Kitchen-Shelf-Storage-Rack-Self-SDL772480286-1-ac133.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitchen-shelf-storage-rack-self/651274312796#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,AUTOGROOMZ Windshield Only Double Clamp Car Mobile Holder - Black,Rs. 217,3.8,https://g.sdlcdn.com/imgs/k/w/5/AUTOGROOMZ-Windshield-Only-Double-Clamp-SDL331657889-1-6f1a8.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/autogroomz-windshield-only-double-clamp/678247143730#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,CRAYLUXE Accu Pressure Bead Back / Lumbar Support Single Black,Rs. 538,3.8,https://g.sdlcdn.com/imgs/l/e/h/CRAYLUXE-Accu-Pressure-Bead-Back-SDL929709189-1-2eb17.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/crayluxe-accu-pressure-bead-back/628897968660#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,Medbuddy Gold Girls Clutcher ( Pack of 1 ),Rs. 183,4.4,https://g.sdlcdn.com/imgs/k/8/6/Medbuddy-Gold-Girls-Clutcher-Pack-SDL660431160-1-9d04b.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/medbuddy-gold-girls-clutcher-pack/6917529714680791300#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,"delhideals Indian Flag for Car Dashboard, Office Table, Study Table & Drawing Table",Rs. 195,4.2,https://g.sdlcdn.com/imgs/j/n/m/delhideals-Others-In-Car-Decor-SDL063163576-1-e1f7d.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/delhideals-others-in-car-decor/622548856924#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,"5 In 1 Multi Pin Universal Portable Adapter And Car Mobile Charging Cable For (iPhone,Type C and Micro USB)",Rs. 254,4.0,https://g.sdlcdn.com/imgs/k/f/a/thriftkart-Car-Mobile-Charger-5-SDL376988961-1-2cf91.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/thriftkart-car-mobile-charger-5/643705858919#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,"GEEO Universal Car Steering Knob, Car Steering Wheel Knob, Steering Wheel Spinner Knob, 360° Rotation Booster (3R Original)",Rs. 331,4.1,https://g.sdlcdn.com/imgs/k/x/s/GEEO-Universal-Car-Steering-Knob-SDL910671069-1-2d729.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/geeo-universal-car-steering-knob/662067935118#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,QitmirMKT NEW KEYCHAIN LIGHTER WITH HIGH POWER LIGHT Multicolor Multipurpose Car Cigarette Lighter ( Pack of 1 ),Rs. 238,3.9,,https://www.snapdeal.com/product/qitmirmkt-new-keychain-lighter-with/658039144835#bcrumbSearch:accessories
2026-02-12 16:22:11,Accessories,Car Travel Inflatable Sofa Mattress Air Bed Cushion Camping Bed Rear Seat with Two Inflatable Pillow and Air Pump for Car Back Seat Durable inflatable Mattress Sleeping & Enjoyment,"Rs. 1,443",3.3,,https://www.snapdeal.com/product/car-travel-inflatable-sofa-mattress/624240763123#bcrumbSearch:accessories
2026-02-12 16:22:22,Footwear,AROTEK Grey Men's Daily Slipper,Rs. 191,4.2,https://g.sdlcdn.com/imgs/l/a/g/AROTEK-Grey-Men-s-Daily-SDL892096973-1-57e53.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/arotek-grey-mens-daily-slipper/664150090808#bcrumbSearch:footwear
2026-02-12 16:22:22,Footwear,Xtoon Grey Men's Outdoor Shoes,Rs. 498,3.7,https://g.sdlcdn.com/imgs/k/x/q/Xtoon-Grey-Men-s-Outdoor-SDL797293333-1-384e9.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/xtoon-grey-mens-outdoor-shoes/664057051788#bcrumbSearch:footwear
2026-02-12 16:22:22,Footwear,Cozy Wear Black Men's Daily Slipper,Rs. 183,4.1,https://g.sdlcdn.com/imgs/l/b/z/Cozy-Wear-Black-Men-s-SDL893990104-1-75a6c.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/cozy-wear-black-mens-daily/627242744127#bcrumbSearch:footwear
2026-02-12 16:22:22,Footwear,Shoetopia Black Women's Flats,Rs. 518,4.1,https://g.sdlcdn.com/imgs/k/1/v/Shoetopia-Black-Women-s-Flats-SDL035411462-1-78b99.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/shoetopia-black-womens-flats/674063147197#bcrumbSearch:footwear
